Date,Open,High,Low,Close,Volume,Change,20d_MA
2010-01-04,119500,120500,118000,119000,1606672,-0.016528925619834656,
2010-01-05,118000,119000,110000,110000,3051322,-0.07563025210084029,
2010-01-06,111000,112500,108000,111000,1683782,0.009090909090909038,
2010-01-07,111000,111500,105000,106000,1739446,-0.04504504504504503,
2010-01-08,106000,107000,102500,106000,2180088,0.0,
2010-01-11,107500,107500,101500,101500,1894737,-0.04245283018867929,
2010-01-12,102000,104000,101500,103000,1514918,0.014778325123152802,
2010-01-13,102000,103500,101500,102000,1235013,-0.009708737864077666,
2010-01-14,103000,104500,102500,103500,1189358,0.014705882352941124,
2010-01-15,104500,109000,103500,108000,1855367,0.04347826086956519,
2010-01-18,107000,109000,106500,108000,1138109,0.0,
2010-01-19,109500,109500,103500,104500,1103103,-0.03240740740740744,
2010-01-20,105000,105500,102000,103500,1009778,-0.009569377990430672,
2010-01-21,103000,109000,102500,109000,1692972,0.0531400966183575,
2010-01-22,108000,110500,107000,109500,1813742,0.004587155963302836,
2010-01-25,108500,111500,108000,111000,1178306,0.013698630136986356,
2010-01-26,111000,111500,104000,108500,1135784,-0.022522522522522515,
2010-01-27,108500,111500,105000,109000,1557578,0.004608294930875667,
2010-01-28,112000,114500,111000,113500,2008360,0.041284403669724856,
2010-01-29,113000,116500,112000,113000,2598600,-0.004405286343612369,107975.0
2010-02-01,115000,117000,114500,116000,1626037,0.026548672566371723,107825.0
2010-02-02,116000,116000,111000,112000,1324788,-0.03448275862068961,107925.0
2010-02-03,114000,114500,110000,112000,1017439,0.0,107975.0
2010-02-04,113000,117500,112500,116000,1374732,0.03571428571428581,108475.0
2010-02-05,112000,115500,112000,115500,1452309,-0.004310344827586188,108950.0
2010-02-08,116000,117500,114000,116000,904978,0.0043290043290042934,109675.0
2010-02-09,115000,117500,114000,116500,1228375,0.004310344827586299,110350.0
2010-02-10,117000,117500,114000,114000,904339,-0.02145922746781115,110950.0
2010-02-11,115000,117500,114500,116000,758516,0.01754385964912286,111575.0
2010-02-12,117000,117500,114500,116000,629496,0.0,111975.0
2010-02-16,116000,119000,115000,117000,893113,0.008620689655172376,112425.0
2010-02-17,118000,118500,116500,117500,723088,0.004273504273504258,113075.0
2010-02-18,117000,117500,114500,115500,695877,-0.017021276595744705,113675.0
2010-02-19,115500,118000,114500,114500,663616,-0.008658008658008698,113950.0
2010-02-22,116000,118000,115500,117000,685002,0.02183406113537112,114325.0
2010-02-23,117500,118000,116000,117000,626767,0.0,114625.0
2010-02-24,114000,115000,112000,114000,1638569,-0.02564102564102566,114900.0
2010-02-25,114000,115500,113000,114000,563685,0.0,115150.0
2010-02-26,115000,116000,113500,115000,489534,0.00877192982456143,115225.0
2010-03-02,116500,118000,112500,113500,1209268,-0.013043478260869601,115250.0
2010-03-03,114000,115500,113000,114500,738123,0.008810572687224738,115175.0
2010-03-04,115500,116000,113500,114500,653835,0.0,115300.0
2010-03-05,114500,115500,113000,114500,556748,0.0,115425.0
2010-03-08,115500,116500,114500,115000,820539,0.004366812227074135,115375.0
2010-03-09,115000,115500,113500,114000,1166860,-0.008695652173912993,115300.0
2010-03-10,114500,115000,113500,114500,669400,0.004385964912280604,115225.0
2010-03-11,114000,115000,111000,112000,1386814,-0.02183406113537123,115000.0
2010-03-12,112000,112500,108000,108000,2226244,-0.0357142857142857,114700.0
2010-03-15,107500,109500,107000,107500,971735,-0.00462962962962965,114275.0
2010-03-16,108500,110000,107000,109500,1133157,0.018604651162790642,113950.0
2010-03-17,110000,112000,110000,112000,874923,0.022831050228310446,113700.0
2010-03-18,111000,112500,111000,111500,525558,-0.004464285714285698,113400.0
2010-03-19,112000,115000,112000,115000,1252781,0.03139013452914807,113375.0
2010-03-22,115000,116000,113500,115500,772791,0.004347826086956497,113425.0
2010-03-23,116500,117500,115500,117500,937152,0.017316017316017396,113450.0
2010-03-24,117500,118500,116000,116500,591629,-0.008510638297872353,113425.0
2010-03-25,116000,117000,114500,117000,743204,0.0042918454935623185,113575.0
2010-03-26,116000,116500,114500,116000,587318,-0.008547008547008517,113675.0
2010-03-29,115000,117500,115000,117000,592691,0.008620689655172376,113775.0
2010-03-30,117500,118000,115000,116000,597286,-0.008547008547008517,113900.0
2010-03-31,115500,116000,114000,115500,823073,-0.004310344827586188,113950.0
2010-04-01,114500,122000,114500,121000,1831497,0.04761904761904767,114275.0
2010-04-02,123000,128000,122500,128000,2762739,0.05785123966942152,114950.0
2010-04-05,128000,132500,127000,130500,1376660,0.01953125,115725.0
2010-04-06,130500,131000,128000,129000,725696,-0.011494252873563204,116475.0
2010-04-07,128000,128500,126000,128000,983552,-0.007751937984496138,117150.0
2010-04-08,126500,128000,125500,127500,932601,-0.00390625,117925.0
2010-04-09,128500,129000,123500,126500,775891,-0.007843137254901933,118850.0
2010-04-12,126000,126000,117000,118000,2742014,-0.06719367588932801,119375.0
2010-04-13,119000,120500,117500,120000,1127562,0.016949152542372836,119900.0
2010-04-14,121000,122500,119000,119500,1115054,-0.004166666666666652,120275.0
2010-04-15,119500,120000,116000,119000,1129764,-0.004184100418409997,120650.0
2010-04-16,118500,122000,118000,119000,770098,0.0,120850.0
2010-04-19,117500,120500,117000,119000,709861,0.0,121025.0
2010-04-20,120500,123000,120000,123000,1028439,0.03361344537815136,121300.0
2010-04-21,124000,125500,122500,125000,1040971,0.016260162601626105,121725.0
2010-04-22,125000,128000,124000,125500,1345118,0.0040000000000000036,122150.0
2010-04-23,130500,130500,127500,130000,1822412,0.03585657370517925,122850.0
2010-04-26,130500,132500,129500,131500,880116,0.011538461538461497,123575.0
2010-04-27,130500,132000,128500,130000,803744,-0.011406844106463865,124275.0
2010-04-28,126500,131500,126000,131500,1019377,0.011538461538461497,125075.0
2010-04-29,131000,136500,130500,135500,1323162,0.03041825095057038,125800.0
2010-04-30,135500,137000,134500,137000,904188,0.011070110701107083,126250.0
2010-05-03,136500,138000,133500,134500,562431,-0.018248175182481785,126450.0
2010-05-04,137000,140000,135500,138000,827959,0.026022304832713727,126900.0
2010-05-06,134000,137000,133000,136500,1100149,-0.010869565217391353,127325.0
2010-05-07,132000,133000,129000,131000,1786474,-0.04029304029304026,127500.0
2010-05-10,131000,134500,130500,130500,824320,-0.003816793893129722,127700.0
2010-05-11,132500,133500,130000,130500,1094366,0.0,128325.0
2010-05-12,131500,136500,131000,134000,1224376,0.026819923371647514,129025.0
2010-05-13,136500,142500,136500,141500,1272784,0.05597014925373145,130125.0
2010-05-14,141000,146500,139500,144500,1345770,0.021201413427561766,131400.0
2010-05-17,142500,144500,140000,140500,1458889,-0.02768166089965396,132475.0
2010-05-18,140500,142500,131500,135500,1509691,-0.03558718861209964,133300.0
2010-05-19,133000,141000,131000,140000,1358933,0.03321033210332103,134150.0
2010-05-20,140500,144500,136000,139500,1579948,-0.0035714285714285587,134875.0
