Open,High,Low,Close,Volume,Change,20d_MA
15000,15120,14720,14820,511626,-0.02242744063324542,16049.0
15199,15379,14900,15000,460053,0.012145748987854255,15965.0
14880,15500,14820,15440,444241,0.029333333333333433,15902.0
15740,15740,15340,15560,450925,0.007772020725388629,15855.0
15440,15620,15360,15520,255822,-0.0025706940874036244,15806.0
15520,15580,15300,15360,228117,-0.010309278350515427,15725.0
15599,15679,15480,15540,293327,0.01171875,15673.0
15500,15940,15480,15860,252280,0.0205920205920207,15632.0
15580,15740,15540,15740,303328,-0.007566204287515754,15605.0
15700,15960,15520,15700,290449,-0.0025412960609910717,15596.0
15840,15840,15320,15400,359716,-0.019108280254777066,15563.0
15540,15600,15420,15460,356286,0.003896103896103842,15545.0
15700,15940,15660,15940,366275,0.031047865459249646,15553.0
15820,16179,15820,16140,241981,0.012547051442910906,15547.0
16200,16200,15960,15960,190780,-0.01115241635687736,15535.0
16299,16440,16180,16380,376553,0.026315789473684292,15570.0
16240,16340,16200,16340,233390,-0.0024420024420024333,15595.0
16500,16500,16240,16440,191872,0.006119951040391758,15644.0
16600,16780,16500,16600,284790,0.009732360097323589,15718.0
16540,16540,16260,16320,296417,-0.016867469879518038,15776.0
16220,16220,16000,16100,350031,-0.013480392156862697,15840.0
16160,16460,16100,16400,283144,0.01863354037267073,15910.0
16180,16200,16040,16100,340230,-0.018292682926829285,15943.0
16100,16160,15919,15920,261209,-0.011180124223602483,15961.0
16020,16080,15740,15840,251786,-0.005025125628140725,15977.0
15399,15600,15399,15480,536406,-0.022727272727272707,15983.0
15580,15600,15199,15320,444516,-0.01033591731266148,15972.0
15400,15480,15260,15340,233128,0.0013054830287206887,15946.0
15260,15400,15220,15340,200619,0.0,15926.0
15240,15500,15100,15500,358388,0.010430247718383301,15916.0
15599,15620,15299,15380,324156,-0.007741935483870921,15915.0
15660,15680,15399,15500,295553,0.007802340702210753,15917.0
15580,15919,15460,15920,372579,0.02709677419354839,15916.0
15980,16040,15840,16040,252065,0.007537688442211143,15911.0
15960,16160,15880,15920,307189,-0.007481296758104716,15909.0
16260,16560,16260,16480,664091,0.035175879396984966,15914.0
16500,16500,16360,16400,321508,-0.004854368932038833,15917.0
16320,16400,16040,16040,338810,-0.02195121951219514,15897.0
15720,15980,15720,15900,292107,-0.00872817955112215,15862.0
15900,16040,15720,15960,231722,0.0037735849056603765,15844.0
16340,16360,16120,16340,331706,0.023809523809523725,15856.0
16240,16340,16020,16160,309521,-0.011015911872705009,15844.0
16300,16340,16140,16220,282472,0.003712871287128605,15850.0
16260,16400,16180,16360,212627,0.008631319358816336,15872.0
16480,16600,16420,16580,382877,0.01344743276283622,15909.0
16640,16800,16620,16740,465199,0.00965018094089265,15972.0
16780,16800,16480,16540,297472,-0.01194743130227005,16033.0
16440,16540,16200,16200,328824,-0.02055622732769047,16076.0
16340,16360,16200,16200,249388,0.0,16119.0
16400,16440,16300,16300,262302,0.006172839506172867,16159.0
16340,16360,16120,16120,213434,-0.011042944785276121,16196.0
16220,16360,16060,16080,280897,-0.002481389578163795,16225.0
16200,16200,15979,16020,247165,-0.003731343283582045,16230.0
15980,16040,15960,16040,182922,0.0012484394506866447,16230.0
16000,16080,15819,15860,281589,-0.01122194513715713,16227.0
15680,15780,15540,15580,359158,-0.017654476670870167,16182.0
15360,15539,15300,15320,428357,-0.016688061617458283,16128.0
15400,15640,15340,15620,286706,0.019582245430809442,16107.0
15460,15660,15340,15640,205733,0.001280409731113874,16094.0
15540,15660,15420,15640,289608,0.0,16078.0
15680,15700,15480,15560,234522,-0.005115089514066473,16039.0
15580,15780,15539,15780,244134,0.014138817480719768,16020.0
15600,15720,15539,15680,246690,-0.006337135614702172,15993.0
15720,15820,15640,15800,181946,0.007653061224489832,15965.0
15699,15719,15500,15660,227569,-0.008860759493670933,15919.0
15520,15560,15439,15440,185769,-0.01404853128991057,15854.0
15440,15660,15400,15460,208913,0.0012953367875647714,15800.0
15300,15440,15300,15320,256176,-0.009055627425614499,15756.0
15500,15559,15440,15520,140117,0.01305483028720622,15722.0
15320,15439,15119,15120,441643,-0.02577319587628868,15663.0
15240,15259,15000,15040,389308,-0.005291005291005346,15609.0
15200,15240,14980,15180,365551,0.009308510638297962,15564.0
15220,15280,15120,15220,441942,0.0026350461133068936,15524.0
15440,15599,15360,15600,394601,0.024967148488830526,15502.0
15660,15800,15500,15760,320803,0.01025641025641022,15497.0
15520,15620,15420,15420,219482,-0.021573604060913687,15489.0
15339,15480,15119,15120,617488,-0.01945525291828798,15479.0
15199,15440,15140,15320,280275,0.013227513227513255,15464.0
15400,15519,15320,15400,234851,0.005221932114882533,15452.0
15500,15620,15200,15200,371530,-0.012987012987012991,15430.0
15260,15340,15020,15140,389289,-0.003947368421052588,15409.0
15080,15260,15080,15140,234815,0.0,15377.0
15240,15560,15159,15460,447649,0.021136063408190298,15366.0
15480,15599,15400,15600,296452,0.009055627425614388,15356.0
15580,15600,15160,15240,655763,-0.023076923076923106,15335.0
15300,15360,15039,15100,502855,-0.009186351706036766,15318.0
15100,15120,14900,14900,467300,-0.013245033112582738,15290.0
15060,15500,15000,15440,708864,0.03624161073825505,15296.0
15440,15580,15340,15540,337258,0.006476683937823857,15297.0
15440,15560,15380,15540,296366,0.0,15318.0
15599,15620,15480,15600,257594,0.0038610038610038533,15346.0
15440,15580,15420,15460,286977,-0.008974358974358942,15360.0
15560,15880,15520,15860,471103,0.025873221216041298,15392.0
15580,15660,15380,15400,511410,-0.0290037831021438,15382.0
15260,15320,15060,15160,543410,-0.01558441558441559,15352.0
15240,15260,15060,15060,376032,-0.006596306068601621,15334.0
15040,15120,14920,14920,370422,-0.009296148738379806,15324.0
15040,15040,14860,14880,409029,-0.002680965147453085,15302.0
15059,15059,14840,15000,535249,0.008064516129032251,15282.0
15000,15120,14900,15080,494223,0.005333333333333412,15276.0
15140,15240,14960,15020,276635,-0.003978779840848823,15270.0
15000,15020,14820,14820,389964,-0.013315579227696439,15254.0
14800,14980,14700,14900,369809,0.005398110661268607,15226.0
14900,15300,14820,15300,567644,0.02684563758389258,15211.0
15460,15540,15340,15540,408511,0.015686274509803866,15226.0
15460,15580,15339,15420,248329,-0.007722007722007707,15242.0
15360,15420,15160,15260,312674,-0.01037613488975353,15260.0
15160,15300,15019,15060,334811,-0.013106159895150737,15241.0
15200,15299,15060,15280,293095,0.014608233731739695,15228.0
15280,15300,14900,14900,463204,-0.02486910994764402,15196.0
15060,15060,14860,14940,296972,0.0026845637583892135,15163.0
14939,14960,14740,14800,330999,-0.009370816599732268,15130.0
14799,14980,14779,14800,359315,0.0,15077.0
14940,15280,14900,15260,547715,0.031081081081081097,15070.0
15600,15800,15500,15520,703745,0.017038007863696025,15088.0
15700,15760,15519,15560,279228,0.002577319587628857,15113.0
15680,15680,15340,15480,256281,-0.005141388174807249,15141.0
15600,15800,15500,15800,422271,0.02067183462532296,15187.0
15860,15980,15340,15340,907350,-0.029113924050632956,15204.0
15680,15800,15460,15560,566889,0.014341590612777066,15228.0
15719,16300,15700,16160,719096,0.03856041131105403,15285.0
16280,16400,16000,16220,590651,0.003712871287128605,15355.0
16020,16080,15900,15900,342693,-0.019728729963008673,15405.0
15940,16100,15860,15980,266236,0.005031446540880502,15439.0
16159,16380,16000,16360,387386,0.02377972465581979,15480.0
16400,16960,16360,16960,721536,0.03667481662591676,15557.0
17000,17020,16680,16800,394881,-0.009433962264150941,15634.0
16520,17040,16500,17020,637287,0.013095238095238049,15732.0
17060,17060,16760,16900,367302,-0.007050528789659172,15813.0
16960,16980,16640,16740,314059,-0.009467455621301801,15905.0
16700,16920,16620,16720,310288,-0.0011947431302270495,15994.0
16640,16920,16520,16520,424616,-0.011961722488038284,16080.0
16480,16560,16280,16400,375860,-0.007263922518159771,16160.0
16560,17180,16500,17180,612551,0.04756097560975614,16256.0
17400,17940,17340,17880,788939,0.04074505238649584,16374.0
17800,17980,17700,17800,336854,-0.004474272930648726,16486.0
17740,18420,17700,18020,498508,0.012359550561797716,16613.0
18060,18200,17740,17760,336418,-0.01442841287458374,16711.0
17700,18360,17680,18340,589656,0.0326576576576576,16861.0
18300,18380,18140,18380,255668,0.0021810250817884125,17002.0
18380,18640,18320,18600,307257,0.01196953210010876,17124.0
18740,18740,18420,18580,443223,-0.0010752688172043223,17242.0
18500,18500,18200,18320,329329,-0.013993541442411161,17363.0
18160,18380,18160,18220,233885,-0.00545851528384278,17475.0
18280,18580,18240,18520,346130,0.016465422612513825,17583.0
18340,18640,18280,18640,338560,0.00647948164146861,17667.0
18620,18800,18500,18720,252120,0.0042918454935623185,17763.0
18780,19060,18720,18780,333591,0.0032051282051281937,17851.0
18720,18760,18500,18720,219864,-0.0031948881789137795,17942.0
18780,18780,18500,18500,169733,-0.01175213675213671,18030.0
18500,18600,18300,18440,210673,-0.00324324324324321,18116.0
18560,19000,18520,18760,313323,0.017353579175704903,18228.0
18700,19020,18640,18900,238527,0.00746268656716409,18353.0
18840,19040,18840,18980,183831,0.004232804232804144,18443.0
19100,19320,19000,19160,265562,0.0094836670179137,18507.0
19120,19219,18980,19160,274488,0.0,18575.0
19100,19100,18840,18840,336224,-0.01670146137787054,18616.0
18840,18980,18460,18600,387488,-0.01273885350318471,18658.0
18300,18580,18280,18420,463447,-0.009677419354838679,18662.0
18360,18560,18180,18340,367107,-0.004343105320304019,18660.0
18340,18440,18160,18260,391242,-0.004362050163576936,18643.0
18280,18660,18280,18600,412107,0.018619934282584794,18644.0
18980,18980,18340,18440,568083,-0.008602150537634357,18650.0
18559,18679,18300,18660,307694,0.01193058568329719,18672.0
18900,19020,18800,18980,411740,0.017148981779206762,18695.0
19000,19620,18980,19380,592816,0.021074815595363505,18732.0
19580,20000,19320,19940,668320,0.028895768833849367,18793.0
19740,19800,19580,19640,304970,-0.015045135406218657,18836.0
19520,19680,19400,19420,333801,-0.011201629327902252,18871.0
19360,19660,19320,19420,272455,0.0,18917.0
19440,19800,19420,19500,279580,0.004119464469618972,18970.0
19700,19980,19600,19960,267128,0.02358974358974364,19030.0
19900,20040,19820,19880,307490,-0.004008016032064132,19079.0
19960,20280,19800,20200,383021,0.016096579476861272,19140.0
20180,20200,19620,19620,428852,-0.02871287128712874,19163.0
19640,19900,19580,19660,269518,0.0020387359836901986,19188.0
20040,20080,19440,19440,485191,-0.011190233977619535,19218.0
19400,19480,19180,19220,610004,-0.011316872427983515,19249.0
19460,19460,19020,19200,420301,-0.0010405827263267886,19288.0
19200,19300,18700,18720,614002,-0.025000000000000022,19307.0
18700,18860,18260,18300,530889,-0.022435897435897467,19309.0
18559,19100,18500,19060,391852,0.041530054644808745,19332.0
19260,19400,18940,19160,362193,0.005246589716684236,19368.0
19040,19400,18900,18900,304438,-0.013569937369519836,19380.0
19060,19260,18860,19080,287009,0.00952380952380949,19385.0
19300,19320,19140,19200,205097,0.0062893081761006275,19376.0
19280,19300,18840,18960,275361,-0.012499999999999956,19327.0
18780,18960,18680,18760,243946,-0.010548523206751037,19283.0
18500,18820,18500,18600,344149,-0.008528784648187626,19242.0
18520,18680,18400,18580,362392,-0.0010752688172043223,19200.0
18560,18660,18460,18520,303972,-0.0032292787944026013,19151.0
18400,18680,18400,18460,325623,-0.003239740820734305,19076.0
18280,18460,18240,18360,322780,-0.005417118093174467,19000.0
18380,18540,18320,18460,362277,0.005446623093681824,18913.0
18680,18900,18540,18900,371501,0.02383531960996743,18877.0
18860,18860,18120,18120,638965,-0.041269841269841234,18800.0
18220,18240,17880,17980,499287,-0.007726269315673329,18727.0
18120,18160,17640,17800,527673,-0.010011123470522798,18656.0
17580,17680,17320,17320,834229,-0.026966292134831482,18562.0
17220,17520,17200,17240,543168,-0.004618937644341847,18488.0
17600,18020,17060,18000,667121,0.044083526682134666,18473.0
18020,18040,17120,17200,727312,-0.0444444444444444,18380.0
17700,17900,17440,17720,799142,0.03023255813953485,18308.0
17560,17800,17360,17800,450459,0.004514672686230181,18253.0
17840,17900,17660,17820,383562,0.0011235955056179137,18190.0
17820,17980,17680,17800,290140,-0.001122334455667784,18120.0
17840,17940,17400,17500,436722,-0.016853932584269704,18047.0
17600,17600,17180,17460,505176,-0.0022857142857143353,17982.0
17600,17760,17480,17600,308119,0.008018327605956443,17932.0
17840,18200,17800,18200,622311,0.03409090909090917,17913.0
18300,18440,18180,18320,318215,0.00659340659340657,17903.0
18140,18320,18000,18320,344624,0.0,17896.0
18320,18580,18320,18520,414257,0.01091703056768556,17904.0
18719,18719,18420,18640,527666,0.00647948164146861,17913.0
